,Title,Poet,Lines,Last_Word
26,Song of Myself (1892 version),Walt Whitman,"A few light kisses, a few embraces, a reaching around of arms,",arms
27,Song of Myself (1892 version),Walt Whitman,"The play of shine and shade on the trees as the supple boughs wag,",wag
28,Song of Myself (1892 version),Walt Whitman,"The delight alone or in the rush of the streets, or along the fields and hill-sides,",sides
29,Song of Myself (1892 version),Walt Whitman,"The feeling of health, the full-noon trill, the song of me rising from bed and meeting the sun.",sun
30,Song of Myself (1892 version),Walt Whitman,Have you reckon’d a thousand acres much? have you reckon’d the earth much?,much
31,Song of Myself (1892 version),Walt Whitman,Have you practis’d so long to learn to read?,read
32,Song of Myself (1892 version),Walt Whitman,Have you felt so proud to get at the meaning of poems?,poems
33,Song of Myself (1892 version),Walt Whitman,"Stop this day and night with me and you shall possess the origin of all poems,",poems
34,Song of Myself (1892 version),Walt Whitman,"You shall possess the good of the earth and sun, (there are millions of suns left,)",left
35,Song of Myself (1892 version),Walt Whitman,"You shall no longer take things at second or third hand, nor look through the eyes of the dead, nor feed on the spectres in books,",books
36,Song of Myself (1892 version),Walt Whitman,"You shall not look through my eyes either, nor take things from me,",me
37,Song of Myself (1892 version),Walt Whitman,You shall listen to all sides and filter them from your self.3,3
38,Song of Myself (1892 version),Walt Whitman,"I have heard what the talkers were talking, the talk of the beginning and the end,",end
39,Song of Myself (1892 version),Walt Whitman,But I do not talk of the beginning or the end.,end
40,Song of Myself (1892 version),Walt Whitman,"There was never any more inception than there is now,",now
41,Song of Myself (1892 version),Walt Whitman,"Nor any more youth or age than there is now,",now
42,Song of Myself (1892 version),Walt Whitman,"And will never be any more perfection than there is now,",now
43,Song of Myself (1892 version),Walt Whitman,Nor any more heaven or hell than there is now.,now
44,Song of Myself (1892 version),Walt Whitman,"Urge and urge and urge,",urge
45,Song of Myself (1892 version),Walt Whitman,Always the procreant urge of the world.,world
46,Song of Myself (1892 version),Walt Whitman,"Out of the dimness opposite equals advance, always substance and increase, always sex,",sex
47,Song of Myself (1892 version),Walt Whitman,"Always a knit of identity, always distinction, always a breed of life.",life
48,Song of Myself (1892 version),Walt Whitman,"To elaborate is no avail, learn’d and unlearn’d feel that it is so.",so
49,Song of Myself (1892 version),Walt Whitman,"Sure as the most certain sure, plumb in the uprights, well entretied, braced in the beams,",beams
50,Song of Myself (1892 version),Walt Whitman,"Stout as a horse, affectionate, haughty, electrical,",electrical
51,Song of Myself (1892 version),Walt Whitman,I and this mystery here we stand.,stand
52,Song of Myself (1892 version),Walt Whitman,"Clear and sweet is my soul, and clear and sweet is all that is not my soul.",soul
53,Song of Myself (1892 version),Walt Whitman,"Lack one lacks both, and the unseen is proved by the seen,",seen
54,Song of Myself (1892 version),Walt Whitman,Till that becomes unseen and receives proof in its turn.,turn
55,Song of Myself (1892 version),Walt Whitman,"Showing the best and dividing it from the worst age vexes age,",age
56,Song of Myself (1892 version),Walt Whitman,"Knowing the perfect fitness and equanimity of things, while they discuss I am silent, and go bathe and admire myself.",myself
57,Song of Myself (1892 version),Walt Whitman,"Welcome is every organ and attribute of me, and of any man hearty and clean,",clean
58,Song of Myself (1892 version),Walt Whitman,"Not an inch nor a particle of an inch is vile, and none shall be less familiar than the rest.",rest
59,Song of Myself (1892 version),Walt Whitman,"I am satisfied—I see, dance, laugh, sing;",sing
60,Song of Myself (1892 version),Walt Whitman,"As the hugging and loving bed-fellow sleeps at my side through the night, and withdraws at the peep of the day with stealthy tread,",tread
61,Song of Myself (1892 version),Walt Whitman,"Leaving me baskets cover’d with white towels swelling the house with their plenty,",plenty
62,Song of Myself (1892 version),Walt Whitman,"Shall I postpone my acceptation and realization and scream at my eyes,",eyes
63,Song of Myself (1892 version),Walt Whitman,"That they turn from gazing after and down the road,",road
64,Song of Myself (1892 version),Walt Whitman,"And forthwith cipher and show me to a cent,",cent
65,Song of Myself (1892 version),Walt Whitman,"Exactly the value of one and exactly the value of two, and which is ahead?4",4
66,Song of Myself (1892 version),Walt Whitman,"Trippers and askers surround me,",me
67,Song of Myself (1892 version),Walt Whitman,"People I meet, the effect upon me of my early life or the ward and city I live in, or the nation,",nation
68,Song of Myself (1892 version),Walt Whitman,"The latest dates, discoveries, inventions, societies, authors old and new,",new
69,Song of Myself (1892 version),Walt Whitman,"My dinner, dress, associates, looks, compliments, dues,",dues
70,Song of Myself (1892 version),Walt Whitman,"The real or fancied indifference of some man or woman I love,",love
71,Song of Myself (1892 version),Walt Whitman,"The sickness of one of my folks or of myself, or ill-doing or loss or lack of money, or depressions or exaltations,",exaltations
72,Song of Myself (1892 version),Walt Whitman,"Battles, the horrors of fratricidal war, the fever of doubtful news, the fitful events;",events
73,Song of Myself (1892 version),Walt Whitman,"These come to me days and nights and go from me again,",again
74,Song of Myself (1892 version),Walt Whitman,But they are not the Me myself.,myself
75,Song of Myself (1892 version),Walt Whitman,"Apart from the pulling and hauling stands what I am,",am
76,Song of Myself (1892 version),Walt Whitman,"Stands amused, complacent, compassionating, idle, unitary,",unitary
77,Song of Myself (1892 version),Walt Whitman,"Looks down, is erect, or bends an arm on an impalpable certain rest,",rest
78,Song of Myself (1892 version),Walt Whitman,"Looking with side-curved head curious what will come next,",next
79,Song of Myself (1892 version),Walt Whitman,Both in and out of the game and watching and wondering at it.,it
80,Song of Myself (1892 version),Walt Whitman,"Backward I see in my own days where I sweated through fog with linguists and contenders,",contenders
81,Song of Myself (1892 version),Walt Whitman,"I have no mockings or arguments, I witness and wait.5",5
82,Song of Myself (1892 version),Walt Whitman,"I believe in you my soul, the other I am must not abase itself to you,",you
83,Song of Myself (1892 version),Walt Whitman,And you must not be abased to the other.,other
84,Song of Myself (1892 version),Walt Whitman,"Loafe with me on the grass, loose the stop from your throat,",throat
85,Song of Myself (1892 version),Walt Whitman,"Not words, not music or rhyme I want, not custom or lecture, not even the best,",best
86,Song of Myself (1892 version),Walt Whitman,"Only the lull I like, the hum of your valvèd voice.",voice
87,Song of Myself (1892 version),Walt Whitman,"I mind how once we lay such a transparent summer morning,",morning
88,Song of Myself (1892 version),Walt Whitman,"How you settled your head athwart my hips and gently turn’d over upon me,",me
89,Song of Myself (1892 version),Walt Whitman,"And parted the shirt from my bosom-bone, and plunged your tongue to my bare-stript heart,",heart
90,Song of Myself (1892 version),Walt Whitman,"And reach’d till you felt my beard, and reach’d till you held my feet.",feet
91,Song of Myself (1892 version),Walt Whitman,"Swiftly arose and spread around me the peace and knowledge that pass all the argument of the earth,",earth
92,Song of Myself (1892 version),Walt Whitman,"And I know that the hand of God is the promise of my own,",own
93,Song of Myself (1892 version),Walt Whitman,"And I know that the spirit of God is the brother of my own,",own
94,Song of Myself (1892 version),Walt Whitman,"And that all the men ever born are also my brothers, and the women my sisters and lovers,",lovers
95,Song of Myself (1892 version),Walt Whitman,"And that a kelson of the creation is love,",love
96,Song of Myself (1892 version),Walt Whitman,"And limitless are leaves stiff or drooping in the fields,",fields
97,Song of Myself (1892 version),Walt Whitman,"And brown ants in the little wells beneath them,",them
98,Song of Myself (1892 version),Walt Whitman,"And mossy scabs of the worm fence, heap’d stones, elder, mullein and poke-weed.6",6
99,Song of Myself (1892 version),Walt Whitman,A child said What is the grass? fetching it to me with full hands;,hands
100,Song of Myself (1892 version),Walt Whitman,How could I answer the child? I do not know what it is any more than he.,he
101,Song of Myself (1892 version),Walt Whitman,"I guess it must be the flag of my disposition, out of hopeful green stuff woven.",woven
102,Song of Myself (1892 version),Walt Whitman,"Or I guess it is the handkerchief of the Lord,",Lord
103,Song of Myself (1892 version),Walt Whitman,"A scented gift and remembrancer designedly dropt,",dropt
104,Song of Myself (1892 version),Walt Whitman,"Bearing the owner’s name someway in the corners, that we may see and remark, and say Whose?",Whose
105,Song of Myself (1892 version),Walt Whitman,"Or I guess the grass is itself a child, the produced babe of the vegetation.",vegetation
106,Song of Myself (1892 version),Walt Whitman,"Or I guess it is a uniform hieroglyphic,",hieroglyphic
107,Song of Myself (1892 version),Walt Whitman,"And it means, Sprouting alike in broad zones and narrow zones,",zones
108,Song of Myself (1892 version),Walt Whitman,"Growing among black folks as among white,",white
109,Song of Myself (1892 version),Walt Whitman,"Kanuck, Tuckahoe, Congressman, Cuff, I give them the same, I receive them the same.",same
110,Song of Myself (1892 version),Walt Whitman,And now it seems to me the beautiful uncut hair of graves.,graves
111,Song of Myself (1892 version),Walt Whitman,"Tenderly will I use you curling grass,",grass
112,Song of Myself (1892 version),Walt Whitman,"It may be you transpire from the breasts of young men,",men
113,Song of Myself (1892 version),Walt Whitman,"It may be if I had known them I would have loved them,",them
114,Song of Myself (1892 version),Walt Whitman,"It may be you are from old people, or from offspring taken soon out of their mothers’ laps,",laps
115,Song of Myself (1892 version),Walt Whitman,And here you are the mothers’ laps.,laps
116,Song of Myself (1892 version),Walt Whitman,"This grass is very dark to be from the white heads of old mothers,",mothers
117,Song of Myself (1892 version),Walt Whitman,"Darker than the colorless beards of old men,",men
118,Song of Myself (1892 version),Walt Whitman,Dark to come from under the faint red roofs of mouths.,mouths
119,Song of Myself (1892 version),Walt Whitman,"O I perceive after all so many uttering tongues,",tongues
120,Song of Myself (1892 version),Walt Whitman,And I perceive they do not come from the roofs of mouths for nothing.,nothing
121,Song of Myself (1892 version),Walt Whitman,"I wish I could translate the hints about the dead young men and women,",women
122,Song of Myself (1892 version),Walt Whitman,"And the hints about old men and mothers, and the offspring taken soon out of their laps.",laps
123,Song of Myself (1892 version),Walt Whitman,What do you think has become of the young and old men?,men
124,Song of Myself (1892 version),Walt Whitman,And what do you think has become of the women and children?,children
125,Song of Myself (1892 version),Walt Whitman,"They are alive and well somewhere,",somewhere
126,Song of Myself (1892 version),Walt Whitman,"The smallest sprout shows there is really no death,",death
127,Song of Myself (1892 version),Walt Whitman,"And if ever there was it led forward life, and does not wait at the end to arrest it,",it
128,Song of Myself (1892 version),Walt Whitman,And ceas’d the moment life appear’d.,d
129,Song of Myself (1892 version),Walt Whitman,"All goes onward and outward, nothing collapses,",collapses
130,Song of Myself (1892 version),Walt Whitman,"And to die is different from what any one supposed, and luckier.7",7
131,Song of Myself (1892 version),Walt Whitman,Has any one supposed it lucky to be born?,born
132,Song of Myself (1892 version),Walt Whitman,"I hasten to inform him or her it is just as lucky to die, and I know it.",it
133,Song of Myself (1892 version),Walt Whitman,"I pass death with the dying and birth with the new-wash’d babe, and am not contain’d between my hat and boots,",boots
134,Song of Myself (1892 version),Walt Whitman,"And peruse manifold objects, no two alike and every one good,",good
135,Song of Myself (1892 version),Walt Whitman,"The earth good and the stars good, and their adjuncts all good.",good
136,Song of Myself (1892 version),Walt Whitman,"I am not an earth nor an adjunct of an earth,",earth
137,Song of Myself (1892 version),Walt Whitman,"I am the mate and companion of people, all just as immortal and fathomless as myself,",myself
138,Song of Myself (1892 version),Walt Whitman,"(They do not know how immortal, but I know.)",know
139,Song of Myself (1892 version),Walt Whitman,"Every kind for itself and its own, for me mine male and female,",female
140,Song of Myself (1892 version),Walt Whitman,"For me those that have been boys and that love women,",women
141,Song of Myself (1892 version),Walt Whitman,"For me the man that is proud and feels how it stings to be slighted,",slighted
142,Song of Myself (1892 version),Walt Whitman,"For me the sweet-heart and the old maid, for me mothers and the mothers of mothers,",mothers
143,Song of Myself (1892 version),Walt Whitman,"For me lips that have smiled, eyes that have shed tears,",tears
144,Song of Myself (1892 version),Walt Whitman,For me children and the begetters of children.,children
145,Song of Myself (1892 version),Walt Whitman,"Undrape! you are not guilty to me, nor stale nor discarded,",discarded
146,Song of Myself (1892 version),Walt Whitman,"I see through the broadcloth and gingham whether or no,",no
147,Song of Myself (1892 version),Walt Whitman,"And am around, tenacious, acquisitive, tireless, and cannot be shaken away.8",8
148,Song of Myself (1892 version),Walt Whitman,"The little one sleeps in its cradle,",cradle
149,Song of Myself (1892 version),Walt Whitman,"I lift the gauze and look a long time, and silently brush away flies with my hand.",hand
150,Song of Myself (1892 version),Walt Whitman,"The youngster and the red-faced girl turn aside up the bushy hill,",hill
151,Song of Myself (1892 version),Walt Whitman,I peeringly view them from the top.,top
152,Song of Myself (1892 version),Walt Whitman,"The suicide sprawls on the bloody floor of the bedroom,",bedroom
153,Song of Myself (1892 version),Walt Whitman,"I witness the corpse with its dabbled hair, I note where the pistol has fallen.",fallen
154,Song of Myself (1892 version),Walt Whitman,"The blab of the pave, tires of carts, sluff of boot-soles, talk of the promenaders,",promenaders
155,Song of Myself (1892 version),Walt Whitman,"The heavy omnibus, the driver with his interrogating thumb, the clank of the shod horses on the granite floor,",floor
156,Song of Myself (1892 version),Walt Whitman,"The snow-sleighs, clinking, shouted jokes, pelts of snow-balls,",balls
157,Song of Myself (1892 version),Walt Whitman,"The hurrahs for popular favorites, the fury of rous’d mobs,",mobs
158,Song of Myself (1892 version),Walt Whitman,"The flap of the curtain’d litter, a sick man inside borne to the hospital,",hospital
159,Song of Myself (1892 version),Walt Whitman,"The meeting of enemies, the sudden oath, the blows and fall,",fall
160,Song of Myself (1892 version),Walt Whitman,"The excited crowd, the policeman with his star quickly working his passage to the centre of the crowd,",crowd
161,Song of Myself (1892 version),Walt Whitman,"The impassive stones that receive and return so many echoes,",echoes
162,Song of Myself (1892 version),Walt Whitman,"What groans of over-fed or half-starv’d who fall sunstruck or in fits,",fits
163,Song of Myself (1892 version),Walt Whitman,"What exclamations of women taken suddenly who hurry home and give birth to babes,",babes
164,Song of Myself (1892 version),Walt Whitman,"What living and buried speech is always vibrating here, what howls restrain’d by decorum,",decorum
165,Song of Myself (1892 version),Walt Whitman,"Arrests of criminals, slights, adulterous offers made, acceptances, rejections with convex lips,",lips
166,Song of Myself (1892 version),Walt Whitman,I mind them or the show or resonance of them—I come and I depart.9,9
167,Song of Myself (1892 version),Walt Whitman,"The big doors of the country barn stand open and ready,",ready
168,Song of Myself (1892 version),Walt Whitman,"The dried grass of the harvest-time loads the slow-drawn wagon,",wagon
169,Song of Myself (1892 version),Walt Whitman,"The clear light plays on the brown gray and green intertinged,",intertinged
170,Song of Myself (1892 version),Walt Whitman,The armfuls are pack’d to the sagging mow.,mow
171,Song of Myself (1892 version),Walt Whitman,"I am there, I help, I came stretch’d atop of the load,",load
172,Song of Myself (1892 version),Walt Whitman,"I felt its soft jolts, one leg reclined on the other,",other
173,Song of Myself (1892 version),Walt Whitman,"I jump from the cross-beams and seize the clover and timothy,",timothy
174,Song of Myself (1892 version),Walt Whitman,And roll head over heels and tangle my hair full of wisps.10,10
175,Song of Myself (1892 version),Walt Whitman,"Alone far in the wilds and mountains I hunt,",hunt
176,Song of Myself (1892 version),Walt Whitman,"Wandering amazed at my own lightness and glee,",glee
177,Song of Myself (1892 version),Walt Whitman,"In the late afternoon choosing a safe spot to pass the night,",night
178,Song of Myself (1892 version),Walt Whitman,"Kindling a fire and broiling the fresh-kill’d game,",game
179,Song of Myself (1892 version),Walt Whitman,Falling asleep on the gather’d leaves with my dog and gun by my side.,side
180,Song of Myself (1892 version),Walt Whitman,"The Yankee clipper is under her sky-sails, she cuts the sparkle and scud,",scud
181,Song of Myself (1892 version),Walt Whitman,"My eyes settle the land, I bend at her prow or shout joyously from the deck.",deck
182,Song of Myself (1892 version),Walt Whitman,"The boatmen and clam-diggers arose early and stopt for me,",me
183,Song of Myself (1892 version),Walt Whitman,I tuck’d my trowser-ends in my boots and went and had a good time;,time
184,Song of Myself (1892 version),Walt Whitman,You should have been with us that day round the chowder-kettle.,kettle
185,Song of Myself (1892 version),Walt Whitman,"I saw the marriage of the trapper in the open air in the far west, the bride was a red girl,",girl
186,Song of Myself (1892 version),Walt Whitman,"Her father and his friends sat near cross-legged and dumbly smoking, they had moccasins to their feet and large thick blankets hanging from their shoulders,",shoulders
187,Song of Myself (1892 version),Walt Whitman,"On a bank lounged the trapper, he was drest mostly in skins, his luxuriant beard and curls protected his neck, he held his bride by the hand,",hand
188,Song of Myself (1892 version),Walt Whitman,"She had long eyelashes, her head was bare, her coarse straight locks descended upon her voluptuous limbs and reach’d to her feet.",feet
189,Song of Myself (1892 version),Walt Whitman,"The runaway slave came to my house and stopt outside,",outside
190,Song of Myself (1892 version),Walt Whitman,"I heard his motions crackling the twigs of the woodpile,",woodpile
191,Song of Myself (1892 version),Walt Whitman,"Through the swung half-door of the kitchen I saw him limpsy and weak,",weak
192,Song of Myself (1892 version),Walt Whitman,"And went where he sat on a log and led him in and assured him,",him
193,Song of Myself (1892 version),Walt Whitman,"And brought water and fill’d a tub for his sweated body and bruis’d feet,",feet
194,Song of Myself (1892 version),Walt Whitman,"And gave him a room that enter’d from my own, and gave him some coarse clean clothes,",clothes
195,Song of Myself (1892 version),Walt Whitman,"And remember perfectly well his revolving eyes and his awkwardness,",awkwardness
196,Song of Myself (1892 version),Walt Whitman,And remember putting plasters on the galls of his neck and ankles;,ankles
197,Song of Myself (1892 version),Walt Whitman,"He staid with me a week before he was recuperated and pass’d north,",north
198,Song of Myself (1892 version),Walt Whitman,"I had him sit next me at table, my fire-lock lean’d in the corner.11",11
199,Song of Myself (1892 version),Walt Whitman,"Twenty-eight young men bathe by the shore,",shore
200,Song of Myself (1892 version),Walt Whitman,Twenty-eight young men and all so friendly;,friendly
201,Song of Myself (1892 version),Walt Whitman,Twenty-eight years of womanly life and all so lonesome.,lonesome
202,Song of Myself (1892 version),Walt Whitman,"She owns the fine house by the rise of the bank,",bank
203,Song of Myself (1892 version),Walt Whitman,She hides handsome and richly drest aft the blinds of the window.,window
204,Song of Myself (1892 version),Walt Whitman,Which of the young men does she like the best?,best
205,Song of Myself (1892 version),Walt Whitman,Ah the homeliest of them is beautiful to her.,her
206,Song of Myself (1892 version),Walt Whitman,"Where are you off to, lady? for I see you,",you
207,Song of Myself (1892 version),Walt Whitman,"You splash in the water there, yet stay stock still in your room.",room
208,Song of Myself (1892 version),Walt Whitman,"Dancing and laughing along the beach came the twenty-ninth bather,",bather
209,Song of Myself (1892 version),Walt Whitman,"The rest did not see her, but she saw them and loved them.",them
210,Song of Myself (1892 version),Walt Whitman,"The beards of the young men glisten’d with wet, it ran from their long hair,",hair
211,Song of Myself (1892 version),Walt Whitman,Little streams pass’d all over their bodies.,bodies
212,Song of Myself (1892 version),Walt Whitman,"An unseen hand also pass’d over their bodies,",bodies
213,Song of Myself (1892 version),Walt Whitman,It descended tremblingly from their temples and ribs.,ribs
214,Song of Myself (1892 version),Walt Whitman,"The young men float on their backs, their white bellies bulge to the sun, they do not ask who seizes fast to them,",them
215,Song of Myself (1892 version),Walt Whitman,"They do not know who puffs and declines with pendant and bending arch,",arch
216,Song of Myself (1892 version),Walt Whitman,They do not think whom they souse with spray.12,12
217,Song of Myself (1892 version),Walt Whitman,"The butcher-boy puts off his killing-clothes, or sharpens his knife at the stall in the market,",market
218,Song of Myself (1892 version),Walt Whitman,I loiter enjoying his repartee and his shuffle and break-down.,down
219,Song of Myself (1892 version),Walt Whitman,"Blacksmiths with grimed and hairy chests environ the anvil,",anvil
220,Song of Myself (1892 version),Walt Whitman,"Each has his main-sledge, they are all out, there is a great heat in the fire.",fire
221,Song of Myself (1892 version),Walt Whitman,"From the cinder-strew’d threshold I follow their movements,",movements
222,Song of Myself (1892 version),Walt Whitman,"The lithe sheer of their waists plays even with their massive arms,",arms
223,Song of Myself (1892 version),Walt Whitman,"Overhand the hammers swing, overhand so slow, overhand so sure,",sure
224,Song of Myself (1892 version),Walt Whitman,"They do not hasten, each man hits in his place.13",13
225,Song of Myself (1892 version),Walt Whitman,"The negro holds firmly the reins of his four horses, the block swags underneath on its tied-over chain,",chain
226,Song of Myself (1892 version),Walt Whitman,"The negro that drives the long dray of the stone-yard, steady and tall he stands pois’d on one leg on the string-piece,",piece
227,Song of Myself (1892 version),Walt Whitman,"His blue shirt exposes his ample neck and breast and loosens over his hip-band,",band
228,Song of Myself (1892 version),Walt Whitman,"His glance is calm and commanding, he tosses the slouch of his hat away from his forehead,",forehead
229,Song of Myself (1892 version),Walt Whitman,"The sun falls on his crispy hair and mustache, falls on the black of his polish’d and perfect limbs.",limbs
230,Song of Myself (1892 version),Walt Whitman,"I behold the picturesque giant and love him, and I do not stop there,",there
231,Song of Myself (1892 version),Walt Whitman,I go with the team also.,also
232,Song of Myself (1892 version),Walt Whitman,"In me the caresser of life wherever moving, backward as well as forward sluing,",sluing
233,Song of Myself (1892 version),Walt Whitman,"To niches aside and junior bending, not a person or object missing,",missing
234,Song of Myself (1892 version),Walt Whitman,Absorbing all to myself and for this song.,song
235,Song of Myself (1892 version),Walt Whitman,"Oxen that rattle the yoke and chain or halt in the leafy shade, what is that you express in your eyes?",eyes
236,Song of Myself (1892 version),Walt Whitman,It seems to me more than all the print I have read in my life.,life
237,Song of Myself (1892 version),Walt Whitman,"My tread scares the wood-drake and wood-duck on my distant and day-long ramble,",ramble
238,Song of Myself (1892 version),Walt Whitman,"They rise together, they slowly circle around.",around
239,Song of Myself (1892 version),Walt Whitman,"I believe in those wing’d purposes,",purposes
240,Song of Myself (1892 version),Walt Whitman,"And acknowledge red, yellow, white, playing within me,",me
241,Song of Myself (1892 version),Walt Whitman,"And consider green and violet and the tufted crown intentional,",intentional
242,Song of Myself (1892 version),Walt Whitman,"And do not call the tortoise unworthy because she is not something else,",else
243,Song of Myself (1892 version),Walt Whitman,"And the jay in the woods never studied the gamut, yet trills pretty well to me,",me
244,Song of Myself (1892 version),Walt Whitman,And the look of the bay mare shames silliness out of me.14,14
245,Song of Myself (1892 version),Walt Whitman,"The wild gander leads his flock through the cool night,Ya-honk he says, and sounds it down to me like an invitation,",invitation
246,Song of Myself (1892 version),Walt Whitman,"The pert may suppose it meaningless, but I listening close,",close
247,Song of Myself (1892 version),Walt Whitman,Find its purpose and place up there toward the wintry sky.,sky
248,Song of Myself (1892 version),Walt Whitman,"The sharp-hoof’d moose of the north, the cat on the house-sill, the chickadee, the prairie-dog,",dog
249,Song of Myself (1892 version),Walt Whitman,"The litter of the grunting sow as they tug at her teats,",teats
250,Song of Myself (1892 version),Walt Whitman,"The brood of the turkey-hen and she with her half-spread wings,",wings
251,Song of Myself (1892 version),Walt Whitman,I see in them and myself the same old law.,law
252,Song of Myself (1892 version),Walt Whitman,"The press of my foot to the earth springs a hundred affections,",affections
253,Song of Myself (1892 version),Walt Whitman,They scorn the best I can do to relate them.,them
254,Song of Myself (1892 version),Walt Whitman,"I am enamour’d of growing out-doors,",doors
255,Song of Myself (1892 version),Walt Whitman,"Of men that live among cattle or taste of the ocean or woods,",woods
256,Song of Myself (1892 version),Walt Whitman,"Of the builders and steerers of ships and the wielders of axes and mauls, and the drivers of horses,",horses
257,Song of Myself (1892 version),Walt Whitman,I can eat and sleep with them week in and week out.,out
258,Song of Myself (1892 version),Walt Whitman,"What is commonest, cheapest, nearest, easiest, is Me,",Me
259,Song of Myself (1892 version),Walt Whitman,"Me going in for my chances, spending for vast returns,",returns
260,Song of Myself (1892 version),Walt Whitman,"Adorning myself to bestow myself on the first that will take me,",me
261,Song of Myself (1892 version),Walt Whitman,"Not asking the sky to come down to my good will,",will
262,Song of Myself (1892 version),Walt Whitman,Scattering it freely forever.15,15
263,Song of Myself (1892 version),Walt Whitman,"The pure contralto sings in the organ loft,",loft
264,Song of Myself (1892 version),Walt Whitman,"The carpenter dresses his plank, the tongue of his foreplane whistles its wild ascending lisp,",lisp
265,Song of Myself (1892 version),Walt Whitman,"The married and unmarried children ride home to their Thanksgiving dinner,",dinner
266,Song of Myself (1892 version),Walt Whitman,"The pilot seizes the king-pin, he heaves down with a strong arm,",arm
267,Song of Myself (1892 version),Walt Whitman,"The mate stands braced in the whale-boat, lance and harpoon are ready,",ready
268,Song of Myself (1892 version),Walt Whitman,"The duck-shooter walks by silent and cautious stretches,",stretches
269,Song of Myself (1892 version),Walt Whitman,"The deacons are ordain’d with cross’d hands at the altar,",altar
270,Song of Myself (1892 version),Walt Whitman,"The spinning-girl retreats and advances to the hum of the big wheel,",wheel
271,Song of Myself (1892 version),Walt Whitman,"The farmer stops by the bars as he walks on a First-day loafe and looks at the oats and rye,",rye
272,Song of Myself (1892 version),Walt Whitman,"The lunatic is carried at last to the asylum a confirm’d case,",case
273,Song of Myself (1892 version),Walt Whitman,(He will never sleep any more as he did in the cot in his mother’s bed-room;),room
274,Song of Myself (1892 version),Walt Whitman,"The jour printer with gray head and gaunt jaws works at his case,",case
275,Song of Myself (1892 version),Walt Whitman,He turns his quid of tobacco while his eyes blurr with the manuscript;,manuscript
276,Song of Myself (1892 version),Walt Whitman,"The malform’d limbs are tied to the surgeon’s table,",table
277,Song of Myself (1892 version),Walt Whitman,What is removed drops horribly in a pail;,pail
278,Song of Myself (1892 version),Walt Whitman,"The quadroon girl is sold at the auction-stand, the drunkard nods by the bar-room stove,",stove
279,Song of Myself (1892 version),Walt Whitman,"The machinist rolls up his sleeves, the policeman travels his beat, the gate-keeper marks who pass,",pass
280,Song of Myself (1892 version),Walt Whitman,"The young fellow drives the express-wagon, (I love him, though I do not know him;)",him
281,Song of Myself (1892 version),Walt Whitman,"The half-breed straps on his light boots to compete in the race,",race
282,Song of Myself (1892 version),Walt Whitman,"The western turkey-shooting draws old and young, some lean on their rifles, some sit on logs,",logs
283,Song of Myself (1892 version),Walt Whitman,"Out from the crowd steps the marksman, takes his position, levels his piece;",piece
284,Song of Myself (1892 version),Walt Whitman,"The groups of newly-come immigrants cover the wharf or levee,",levee
